Unnamed: 0,created_at,text,user_name,user_location,retweet_count,favorite_count
1863,13/03/2020 15:16,RT jessefordj I am excited to finally share that I will be joining the faculty at the University of North Carolina at Greensboro as a ten ,pearson,Tallahassee FL,7,0
1864,13/03/2020 15:16,I m having a virtual tutorial in how to attend virtual tutorials from University Covid 19 not stopping my education,Kate,nan,0,2
1865,13/03/2020 15:16,Because of course they are HowToEvangelical NoMoreProfitsBeforePeople , ,Indiana USA,6,9
1866,13/03/2020 15:15,RT ateneodemanilau The Graduation Closing Ceremonies of Ateneo de Manila University s Basic Education Units have been postponed https ,Jaz sa Isabela Veilor sa Vizcaya,Cabagan Isabela,70,0
1867,13/03/2020 15:15,RT SewWebb I ve just been shortlisted for a Guardian Award in the Digital Innovation category for the OneHourDegree game play it here h ,G Randsley de Moura,nan,3,0
1868,13/03/2020 15:15,RT Tsinghua Uni The Tsinghua University Education Foundation is dedicating 150 million RMB to scientific research on COVID19 A number o , ,nan,34,0
1869,13/03/2020 15:15,76 graduands will be awarded First Class Honours the highest in the history of the University Breakdown Arts 4 ,Lagos State University,Lagos Nigeria,4,10
1870,13/03/2020 15:14,RT TantivyUK University of Hertfordshire avoids data breach action by UK watchdog via ZDNet amp SecurityCharlie ,Cyber Security Feed,Internet,12,0
1871,13/03/2020 15:14,Hey college students Quick message to ya Your university college is run by human beings They are dealing with ,naomi,nan,1,3
1872,13/03/2020 15:13,RT loettapearl1 I see life like one long university education I never had I learn something every day Richard Branson leadership su ,Trillion House,Highlands Ranch CO,5,0
1873,13/03/2020 15:13,RT PittsburghPG Dozens of K 12 schools and colleges in Western Pennsylvania have announced schedule changes class adjustments and activi ,Pierre Abi Saab,nan,1,0
1874,13/03/2020 15:12,Dozens of K 12 schools and colleges in Western Pennsylvania have announced schedule changes class adjustments and ,Pittsburgh Post Gazette,Pittsburgh Pa ,1,1
1875,13/03/2020 15:12,RT UoSinLondon NEWS DAY Four lecturers at the University of Sunderland in London have been awarded Fellowships from the Higher Ed ,Dr John Unsworth RN DN QN,North East England,1,0
1876,13/03/2020 15:12,RT abawarsesa Umma university in partnership with Tangaza University College will be hosting 2nd Joint national conference on faith based ,Marion Okumu,nan,5,0
1877,13/03/2020 15:11,RT jvnaidoo1 Group of 2000 holding University to ransom removed from campus Have leeched on taxpayers for free education and accommodati ,Jean Conradie,Johannesburg South Africa,19,0
1878,13/03/2020 15:11,RT ichaydon The Office of Research and Graduate Education is working with University administration to ensure individuals who assist wit ,BLACKSTEM Global ,Southeast USA Global Citizens,176,0
1879,13/03/2020 15:11,UNIVERSITY EDUCATION amp CORONA VIRUS COVID 19 provides lessons that could lower education expense Necessity is t ,Pete,nan,0,0
1880,13/03/2020 15:11,Want to introduce voice technology into your institution Learn from Chris Dixon Head of IT Partnering amp Innovatio ,AWS Education,nan,1,6
1881,13/03/2020 15:11, ShopFloorNAM Become a manufacturing technology teacher with a BEd Technological Education degree from York Univers ,Liquid Story,Canada,0,0
1882,13/03/2020 15:10,RT EducationCol BBC Education News Coronavirus Six Oxford University students diagnosed ,CMSBL,nan,1,0
1883,13/03/2020 15:10,Selkirk College offers a rewarding start to your degree in Business with university transfer courses Save half the ,Selkirk College,nan,0,0
1884,13/03/2020 15:10,BBC Education News Coronavirus Six Oxford University students diagnosed ,Neil Limbrick,nan,0,0
1885,13/03/2020 15:10,BBC Education News Coronavirus Six Oxford University students diagnosed ,theEducationCollective,nan,1,0
1886,13/03/2020 15:09,RT ichaydon The Office of Research and Graduate Education is working with University administration to ensure individuals who assist wit ,RY,nan,176,0
1887,13/03/2020 15:09, askCDC I have pulmonary sarcoidosis and work for CUNY what precautions can I take to keep myself healthy and coro ,Troy Lambert,Brooklyn NY,0,0
1888,13/03/2020 15:09,RT DerbyUniPress DerbyUni has been shortlisted in the Social and community impact category of The Guardian University Awards 2020 for i ,University of Derby,Derby Midlands UK,4,0
1889,13/03/2020 15:09,RT IndyVoices The university strikes are something we need to pay attention to it s a fight about how all of us want to live AngelaR ,Charlie Pillock,Ilford London,4,0
